22:54:11 programm started
22:19:13 checkApp 3096 "yandex\\Partners.exe"
22:24:13 checkApp 3096 "yandex\\Partners.exe"
22:29:13 checkApp 3096 "yandex\\Partners.exe"
22:34:13 checkApp 3096 "yandex\\Partners.exe"
22:39:13 checkApp 3096 "yandex\\Partners.exe"
22:44:13 checkApp 3096 "yandex\\Partners.exe"
22:49:13 checkApp 3096 "yandex\\Partners.exe"
22:54:13 checkApp 3096 "yandex\\Partners.exe"
22:59:13 checkApp 3096 "yandex\\Partners.exe"
23:04:13 checkApp 3096 "yandex\\Partners.exe"
23:09:13 checkApp 3096 "yandex\\Partners.exe"
23:14:13 checkApp 3096 "yandex\\Partners.exe"
23:19:13 checkApp 3096 "yandex\\Partners.exe"
23:24:13 checkApp 3096 "yandex\\Partners.exe"
23:29:13 checkApp 3096 "yandex\\Partners.exe"
23:34:13 checkApp 3096 "yandex\\Partners.exe"
23:39:13 checkApp 3096 "yandex\\Partners.exe"
23:44:13 checkApp 3096 "yandex\\Partners.exe"
23:49:13 checkApp 3096 "yandex\\Partners.exe"
23:54:14 checkApp 3096 "yandex\\Partners.exe"
23:59:13 checkApp 3096 "yandex\\Partners.exe"
00:04:13 checkApp 3096 "yandex\\Partners.exe"
00:09:13 checkApp 3096 "yandex\\Partners.exe"
00:14:13 checkApp 3096 "yandex\\Partners.exe"
00:19:13 checkApp 3096 "yandex\\Partners.exe"
00:24:13 checkApp 3096 "yandex\\Partners.exe"
00:29:13 checkApp 3096 "yandex\\Partners.exe"
00:34:13 checkApp 3096 "yandex\\Partners.exe"
00:39:13 checkApp 3096 "yandex\\Partners.exe"
00:44:13 checkApp 3096 "yandex\\Partners.exe"
00:49:13 checkApp 3096 "yandex\\Partners.exe"
00:54:14 checkApp 3096 "yandex\\Partners.exe"
00:59:13 checkApp 3096 "yandex\\Partners.exe"
01:04:13 checkApp 3096 "yandex\\Partners.exe"
01:09:13 checkApp 3096 "yandex\\Partners.exe"
01:14:13 checkApp 3096 "yandex\\Partners.exe"
01:19:13 checkApp 3096 "yandex\\Partners.exe"
01:24:13 checkApp 3096 "yandex\\Partners.exe"
01:29:13 checkApp 3096 "yandex\\Partners.exe"
01:34:13 checkApp 3096 "yandex\\Partners.exe"
01:39:13 checkApp 3096 "yandex\\Partners.exe"
01:44:13 checkApp 3096 "yandex\\Partners.exe"
01:49:13 checkApp 3096 "yandex\\Partners.exe"
01:54:14 checkApp 3096 "yandex\\Partners.exe"
01:59:13 checkApp 3096 "yandex\\Partners.exe"
02:04:13 checkApp 3096 "yandex\\Partners.exe"
02:09:13 checkApp 3096 "yandex\\Partners.exe"
02:14:13 checkApp 3096 "yandex\\Partners.exe"
02:19:13 checkApp 3096 "yandex\\Partners.exe"
02:24:14 checkApp 3096 "yandex\\Partners.exe"
02:29:13 checkApp 3096 "yandex\\Partners.exe"
02:34:13 checkApp 3096 "yandex\\Partners.exe"
02:39:13 checkApp 3096 "yandex\\Partners.exe"
02:44:13 checkApp 3096 "yandex\\Partners.exe"
